Date,Ten_Year_Treasury
1977-10-01,0.07519999999999999
1977-09-01,0.07339999999999999
1977-08-01,0.07400000000000001
1977-07-01,0.0733
1977-06-01,0.0728
1977-05-01,0.0746
1977-04-01,0.0737
1977-03-01,0.0746
1977-02-01,0.0739
1977-01-01,0.0721
1976-12-01,0.0687
1976-11-01,0.0729
1976-10-01,0.0741
1976-09-01,0.0759
1976-08-01,0.07769999999999999
1976-07-01,0.0783
1976-06-01,0.0786
1976-05-01,0.079
1976-04-01,0.0756
1976-03-01,0.07730000000000001
1976-02-01,0.0779
1976-01-01,0.0774
1975-12-01,0.08
1975-11-01,0.0805
1975-10-01,0.0814
1975-09-01,0.0843
1975-08-01,0.084
1975-07-01,0.0806
1975-06-01,0.0786
1975-05-01,0.0806
1975-04-01,0.0823
1975-03-01,0.07730000000000001
1975-02-01,0.0739
1975-01-01,0.075
1974-12-01,0.07429999999999999
1974-11-01,0.0768
1974-10-01,0.079
1974-09-01,0.08039999999999999
1974-08-01,0.08039999999999999
1974-07-01,0.0781
1974-06-01,0.0754
1974-05-01,0.0758
1974-04-01,0.0751
1974-03-01,0.0721
1974-02-01,0.0696
1974-01-01,0.0699
1973-12-01,0.0674
1973-11-01,0.0673
1973-10-01,0.0679
1973-09-01,0.0709
1973-08-01,0.07400000000000001
1973-07-01,0.0713
1973-06-01,0.069
1973-05-01,0.06849999999999999
1973-04-01,0.0667
1973-03-01,0.06709999999999999
1973-02-01,0.0664
1973-01-01,0.0646
1972-12-01,0.0636
1972-11-01,0.06280000000000001
1972-10-01,0.06480000000000001
1972-09-01,0.0655
1972-08-01,0.0621
1972-07-01,0.0611
1972-06-01,0.0611
1972-05-01,0.0613
1972-04-01,0.061900000000000004
1972-03-01,0.060700000000000004
1972-02-01,0.0608
1972-01-01,0.059500000000000004
1971-12-01,0.0593
1971-11-01,0.0581
1971-10-01,0.0593
1971-09-01,0.061399999999999996
1971-08-01,0.0658
1971-07-01,0.0673
1971-06-01,0.0652
1971-05-01,0.0639
1971-04-01,0.0583
1971-03-01,0.057
1971-02-01,0.0611
1971-01-01,0.062400000000000004
1970-12-01,0.0639
1970-11-01,0.0684
1970-10-01,0.0733
1970-09-01,0.0739
1970-08-01,0.0753
1970-07-01,0.0746
1970-06-01,0.0784
1970-05-01,0.0791
1970-04-01,0.0739
1970-03-01,0.0707
1970-02-01,0.0724
1970-01-01,0.0779
1969-12-01,0.0765
1969-11-01,0.07139999999999999
1969-10-01,0.071
1969-09-01,0.0716
1969-08-01,0.0669
1969-07-01,0.0672
1969-06-01,0.06570000000000001
1969-05-01,0.0632
1969-04-01,0.0617
1969-03-01,0.063
1969-02-01,0.061900000000000004
1969-01-01,0.0604
1968-12-01,0.0603
1968-11-01,0.057
1968-10-01,0.0558
1968-09-01,0.0546
1968-08-01,0.0542
1968-07-01,0.055
1968-06-01,0.0572
1968-05-01,0.0587
1968-04-01,0.0564
1968-03-01,0.0574
1968-02-01,0.0556
1968-01-01,0.0553
1967-12-01,0.057
1967-11-01,0.0575
1967-10-01,0.0548
1967-09-01,0.053
1967-08-01,0.0528
1967-07-01,0.0516
1967-06-01,0.050199999999999995
1967-05-01,0.048499999999999995
1967-04-01,0.045899999999999996
1967-03-01,0.0454
1967-02-01,0.0463
1967-01-01,0.0458
1966-12-01,0.0484
1966-11-01,0.0516
1966-10-01,0.0501
1966-09-01,0.0518
1966-08-01,0.052199999999999996
1966-07-01,0.050199999999999995
1966-06-01,0.0481
1966-05-01,0.0478
1966-04-01,0.0475
1966-03-01,0.0487
1966-02-01,0.0483
1966-01-01,0.0461
1965-12-01,0.0462
1965-11-01,0.044500000000000005
1965-10-01,0.0435
1965-09-01,0.0429
1965-08-01,0.0425
1965-07-01,0.042
1965-06-01,0.0421
1965-05-01,0.0421
1965-04-01,0.042
1965-03-01,0.0421
1965-02-01,0.0421
