Date,Nominal_US_GDP_Quarterly
1964-03-01,675.5146604502212
1964-04-01,678.674
1964-05-01,683.2147859273406
1964-06-01,688.3070830584272
1964-07-01,692.031
1964-08-01,693.6480921606593
1964-09-01,694.6756821359686
1964-10-01,697.319
1964-11-01,703.2617724908914
1964-12-01,710.6707040220606
1965-01-01,717.79
1965-02-01,722.7346894513347
1965-03-01,726.1249389421246
1965-04-01,730.191
1965-05-01,735.5712916221364
1965-06-01,742.3168979616235
1965-07-01,749.323
1965-08-01,756.5492391574466
1965-09-01,764.0082533421174
1965-10-01,771.857
1965-11-01,780.7262990956849
1965-12-01,788.9739582690822
1966-01-01,795.734
1966-02-01,799.8011093921666
1966-03-01,802.1706862337928
1966-04-01,804.981
1966-05-01,809.0988031890244
1966-06-01,814.3747350835251
1966-07-01,819.638
1966-08-01,824.5678576327044
1966-09-01,829.0750597635239
1966-10-01,833.302
1966-11-01,837.6540512235181
1966-12-01,841.3989675088004
1967-01-01,844.17
1967-02-01,845.5623832779121
1967-03-01,846.6144642060602
1967-04-01,848.983
1967-05-01,853.4482121225634
1967-06-01,859.4308780490754
1967-07-01,865.233
1967-08-01,870.3247090280802
1967-09-01,875.3670938966686
1967-10-01,881.439
1967-11-01,889.8192234433948
1967-12-01,899.289143044023
1968-01-01,909.387
1968-02-01,918.8527101737261
1968-03-01,926.8525971624173
1968-04-01,934.344
1968-05-01,940.4896474122144
1968-06-01,945.9824911991916
1968-07-01,950.825
1968-08-01,955.7731247342854
1968-09-01,961.3440706732442
1968-10-01,968.03
1968-11-01,976.6078687777748
1968-12-01,985.3736998159255
1969-01-01,993.337
1969-02-01,999.1489921285525
1969-03-01,1003.5255340161094
1969-04-01,1009.02
1969-05-01,1016.0305504554537
1969-06-01,1023.7709023893858
1969-07-01,1029.956
1969-08-01,1033.731247275241
1969-09-01,1035.9344268820983
1969-10-01,1038.147
1969-11-01,1041.7517364627738
1969-12-01,1046.228083841608
1970-01-01,1051.2
1970-02-01,1056.0885614511885
1970-03-01,1060.8893375500875
1970-04-01,1067.375
1970-05-01,1075.0217468675196
1970-06-01,1082.2583881584853
1970-07-01,1086.059
1970-08-01,1085.4162432114588
1970-09-01,1084.4515760633387
1970-10-01,1088.608
1970-11-01,1101.7319205317249
1970-12-01,1118.9141896325596
1971-01-01,1135.156
1971-02-01,1145.2801281601992
1971-03-01,1150.7951332477019
1971-04-01,1156.271
1971-05-01,1163.3920831330952
1971-06-01,1171.4071862551514
1971-07-01,1177.675
1971-08-01,1181.329139850789
1971-09-01,1184.5180426043853
1971-10-01,1190.297
1971-11-01,1201.3003250449367
1971-12-01,1215.2767175995073
1972-01-01,1230.609
1972-02-01,1244.6604312245468
1972-03-01,1256.1129827871341
1972-04-01,1266.369
1972-05-01,1274.4433074688075
1972-06-01,1282.1657720669411
1972-07-01,1290.566
1972-08-01,1301.4610461855677
1972-09-01,1314.5397086835765
1972-10-01,1328.904
1972-11-01,1345.0454319819883
1972-12-01,1361.170330958509
1973-01-01,1377.49
1973-02-01,1392.5489297366278
1973-03-01,1404.1860693517117
1973-04-01,1413.887
1973-05-01,1419.844964509689
1973-06-01,1425.4084489508896
1973-07-01,1433.838
1973-08-01,1447.969329236688
1973-09-01,1463.9408015122444
1973-10-01,1476.289
1973-11-01,1482.5629469184566
1973-12-01,1485.7372731715695
1974-01-01,1491.209
1974-02-01,1502.598284458934
1974-03-01,1515.8743120973083
1974-04-01,1530.056
1974-05-01,1540.5590733829745
1974-06-01,1549.8150025960376
1974-07-01,1560.026
1974-08-01,1573.7177397764917
1974-09-01,1588.1938049420369
1974-10-01,1599.679
1974-11-01,1606.7092037151833
1974-12-01,1610.9814486219261
1975-01-01,1616.116
1975-02-01,1624.765838858299
1975-03-01,1635.944832821746
1975-04-01,1651.853
1975-05-01,1670.2945250509897
1975-06-01,1690.7253933088439
1975-07-01,1709.82
1975-08-01,1727.4545899153425
1975-09-01,1744.3175829452455
1975-10-01,1761.831
1975-11-01,1782.312026734189
1975-12-01,1802.3956659483886
1976-01-01,1820.487
1976-02-01,1833.7932802601285
1976-03-01,1843.2176680424277
1976-04-01,1852.332
1976-05-01,1862.085269810102
1976-06-01,1873.6833734686425
1976-07-01,1886.558
1976-08-01,1901.612104593694
1976-09-01,1917.921909846673
1976-10-01,1934.273
1976-11-01,1951.3802124544488
1976-12-01,1968.8013010467855
1977-01-01,1988.648
1977-02-01,2010.9285104425512
1977-03-01,2032.2744837866744
1977-04-01,2055.909
1977-05-01,2077.691044871231
1977-06-01,2098.9544122052266
1977-07-01,2118.473
1977-08-01,2137.3533498449992
1977-09-01,2153.3494464394144
1977-10-01,2164.27
1977-11-01,2170.938071401603
1977-12-01,2180.3510281270296
1978-01-01,2202.76
1978-02-01,2243.746446999827
1978-03-01,2288.04521390366
1978-04-01,2331.633
1978-05-01,2358.755345383255
1978-06-01,2377.0885919155226
1978-07-01,2395.053
1978-08-01,2421.0630934971073
1978-09-01,2450.8084454254877
1978-10-01,2476.949
1978-11-01,2496.6928247659635
1978-12-01,2511.4080878195387
1979-01-01,2526.61
1979-02-01,2545.5038740778564
1979-03-01,2565.8473023575775
1979-04-01,2591.247
1979-05-01,2617.671055923999
1979-06-01,2644.537870159681
1979-07-01,2667.565
1979-08-01,2686.780822012669
1979-09-01,2704.3983262738025
1979-10-01,2723.883
1979-11-01,2748.7447097081363
1979-12-01,2772.496445690069
1980-01-01,2789.842
1980-02-01,2795.4719024992896
1980-03-01,2795.303873411063
1980-04-01,2797.352
1980-05-01,2807.9212486363494
1980-06-01,2828.3657977185057
1980-07-01,2856.483
1980-08-01,2893.256960897421
1980-09-01,2937.1019775396853
1980-10-01,2985.557
1980-11-01,3039.602764063746
1980-12-01,3087.9432662054205
1981-01-01,3124.206
1981-02-01,3140.994485992965
1981-03-01,3148.536802372674
1981-04-01,3162.532
1981-05-01,3191.3673534116147
1981-06-01,3228.9390345863526
1981-07-01,3260.609
1981-08-01,3278.7053047663594
1981-09-01,3283.7976794299443
1981-10-01,3280.818
1981-11-01,3274.4005128680587
1981-12-01,3270.368244750448
1982-01-01,3274.302
1982-02-01,3290.138668259655
1982-03-01,3310.2707478523853
1982-04-01,3331.972
1982-05-01,3347.047241075387
1982-06-01,3357.754533121982
1982-07-01,3366.322
1982-08-01,3376.0209139707335
1982-09-01,3387.938376046092
1982-10-01,3402.561
1982-11-01,3421.7621866008235
1982-12-01,3444.7486769924917
1983-01-01,3473.413
1983-02-01,3507.048339670489
1983-03-01,3540.409809531586
1983-04-01,3578.848
1983-05-01,3616.005467639183
1983-06-01,3653.7158883313405
1983-07-01,3689.179
1983-08-01,3724.638627560084
1983-09-01,3759.8156994433803
1983-10-01,3794.706
1983-11-01,3832.3979002928986
1983-12-01,3869.7290783293033
1984-01-01,3908.054
1984-02-01,3945.0313447660556
1984-03-01,3977.635459988637
1984-04-01,4009.601
1984-05-01,4037.153515494159
1984-06-01,4062.4174343673617
1984-07-01,4084.25
1984-08-01,4104.9359264788945
1984-09-01,4125.830096519394
1984-10-01,4148.551
1984-11-01,4175.964071274397
1984-12-01,4203.761027190935
1985-01-01,4230.168
1985-02-01,4251.991943605727
1985-03-01,4270.6881377454465
1985-04-01,4294.887
1985-05-01,4324.6917543758445
1985-06-01,4357.951113963328
1985-07-01,4386.773
1985-08-01,4408.943765573059
1985-09-01,4426.585766585202
1985-10-01,4444.094
1985-11-01,4465.973256593196
1985-12-01,4488.163826257755
1986-01-01,4507.894
1986-02-01,4521.635425694798
1986-03-01,4531.812746336568
1986-04-01,4545.34
1986-05-01,4563.978185359879
1986-06-01,4586.514339406351
1986-07-01,4607.669
1986-08-01,4625.948159784777
1986-09-01,4641.968849153448
1986-10-01,4657.627
1986-11-01,4676.044065042189
1986-12-01,4696.888216979153
1987-01-01,4722.156
1987-02-01,4751.153698414021
1987-03-01,4778.273272528929
1987-04-01,4806.16
1987-05-01,4829.363396263969
1987-06-01,4854.032971078488
1987-07-01,4884.555
1987-08-01,4926.432449387572
1987-09-01,4971.32610107786
1987-10-01,5007.994
1987-11-01,5032.46466149402
1987-12-01,5050.2652735867105
1988-01-01,5073.372
1988-02-01,5108.934455204588
1988-03-01,5148.743976374541
1988-04-01,5190.036
1988-05-01,5222.9019684024615
1988-06-01,5252.697830818289
1988-07-01,5282.835
1988-08-01,5319.412707984578
1988-09-01,5359.793240589723
1988-10-01,5399.509
1988-11-01,5438.755152834909
1988-12-01,5474.999138050314
1989-01-01,5511.253
1989-02-01,5546.781151490497
1989-03-01,5578.288192545322
1989-04-01,5612.463
1989-05-01,5644.317665609803
1989-06-01,5673.520594153301
1989-07-01,5695.365
1989-08-01,5710.399183887743
1989-09-01,5724.945133142197
1989-10-01,5747.237
1989-11-01,5784.599984201689
1989-12-01,5828.548230768456
1990-01-01,5872.701
1990-02-01,5908.3327016967405
1990-03-01,5934.419966514857
1990-04-01,5960.028
1990-05-01,5983.70511412836
1990-06-01,6003.93607430608
1990-07-01,6015.116
1990-08-01,6015.456483345448
1990-09-01,6009.593850943537
1990-10-01,6004.733
1990-11-01,6006.41515478181
1990-12-01,6016.130828206915
1991-01-01,6035.178
1991-02-01,6063.1573096338
1991-03-01,6093.009606262139
1991-04-01,6126.862
1991-05-01,6156.845857091157
1991-06-01,6183.897529804757
1991-07-01,6205.937
1991-08-01,6224.843529988091
1991-09-01,6243.249536214378
1991-10-01,6264.54
1991-11-01,6293.134338428696
1991-12-01,6326.010594315492
1992-01-01,6363.102
1992-02-01,6401.162121603987
1992-03-01,6436.002000737565
1992-04-01,6470.763
1992-05-01,6501.2422386741155
1992-06-01,6532.569746699081
1992-07-01,6566.641
1992-08-01,6607.763143781259
1992-09-01,6648.81032763786
1992-10-01,6680.803
1992-11-01,6700.8703504037085
1992-12-01,6713.774484195817
1993-01-01,6729.459
1993-02-01,6754.090017055491
1993-03-01,6780.740859792057
1993-04-01,6808.939
1993-05-01,6830.981880256028
1993-06-01,6853.452066600501
1993-07-01,6882.098
1993-08-01,6923.565608236234
1993-09-01,6970.8652471604355
1993-10-01,7013.738
1993-11-01,7049.155027220524
1993-12-01,7079.811716686391
1994-01-01,7115.652
1994-02-01,7160.833556993829
1994-03-01,7204.367064416851
1994-04-01,7246.931
1994-05-01,7276.825068977435
1994-06-01,7302.3798938782475
1994-07-01,7331.075
1994-08-01,7371.213489517798
1994-09-01,7416.024549019262
1994-10-01,7455.288
1994-11-01,7485.041549734853
1994-12-01,7505.474655582398
1995-01-01,7522.289
1995-02-01,7538.883600479681
1995-03-01,7556.31786115853
1995-04-01,7580.997
1995-05-01,7611.827559561026
1995-06-01,7647.9538797957475
1995-07-01,7683.125
1995-08-01,7716.383697512801
1995-09-01,7746.298746318572
1995-10-01,7772.586
1995-11-01,7798.541807245562
1995-12-01,7827.71706818196
1996-01-01,7868.468
1996-02-01,7923.36181430335
1996-03-01,7979.460472640593
1996-04-01,8032.84
1996-05-01,8070.132913936664
1996-06-01,8100.340118241474
1996-07-01,8131.408
1996-08-01,8172.67661314765
1996-09-01,8218.474914571438
1996-10-01,8259.771
1996-11-01,8294.39990924611
