Date,SP500_Growth_Based_On_Earnings
1945-01-01,1405.5740046884644
1945-02-01,1413.5584059875355
1945-03-01,1421.6767060448954
1945-04-01,1429.752579176257
1945-05-01,1437.685072402934
1945-06-01,1445.6245746803968
1945-07-01,1453.74788651834
1945-08-01,1461.8621301358792
1945-09-01,1469.4759953970035
1945-10-01,1476.7477491351124
1945-11-01,1483.751864811147
1945-12-01,1490.6020580928234
1946-01-01,1497.0818096929488
1946-02-01,1503.433989808754
1946-03-01,1509.8655178281274
1946-04-01,1515.800523794433
1946-05-01,1521.6108600555278
1946-06-01,1527.3432698658637
1946-07-01,1533.384020023536
1946-08-01,1539.6880161591369
1946-09-01,1547.2533071190383
1946-10-01,1555.5291592110314
1946-11-01,1564.3834918568136
1946-12-01,1573.519111407484
1947-01-01,1583.2610573671636
1947-02-01,1593.2791607420506
1947-03-01,1604.3991995523666
1947-04-01,1616.5537389429148
1947-05-01,1629.5443668675605
1947-06-01,1642.7155951804248
1947-07-01,1655.5332886509339
1947-08-01,1669.0324185323013
1947-09-01,1683.3416813798005
1947-10-01,1697.5976238034098
1947-11-01,1712.3337142878145
1947-12-01,1727.6114954645436
1948-01-01,1743.5724294581184
1948-02-01,1760.849207395674
1948-03-01,1778.4015320307985
1948-04-01,1795.3386894787109
1948-05-01,1812.111285606128
1948-06-01,1828.815851292025
1948-07-01,1846.7243496399688
1948-08-01,1866.0334708198095
1948-09-01,1886.467477289584
1948-10-01,1907.28941412501
1948-11-01,1930.3243104308676
1948-12-01,1954.5868080481484
1949-01-01,1979.1913751182408
1949-02-01,2005.412776484407
1949-03-01,2032.108899707043
1949-04-01,2059.2471061668057
1949-05-01,2087.0147316544917
1949-06-01,2116.8975313631754
1949-07-01,2145.5352144173307
1949-08-01,2173.5155901922044
1949-09-01,2201.4671795722484
1949-10-01,2228.8078052499964
1949-11-01,2255.843319627119
1949-12-01,2282.208949823789
1950-01-01,2308.550235024895
1950-02-01,2334.867497166081
1950-03-01,2361.448411295932
1950-04-01,2388.222202807224
1950-05-01,2415.008005889405
1950-06-01,2442.2777439866204
1950-07-01,2472.7452807130003
1950-08-01,2502.4800724483657
1950-09-01,2532.229003409473
1950-10-01,2561.5372094674535
